w_mm,freq_ghz,r_ohm,l_uH,g_uS,c_pF
0.2,1.92,39.2766322920916,1.0411114179257,46.8065669481224,13.5080404675219
0.2,1.95,39.5604526289762,1.04108483703342,47.5632679404035,13.5080018766988
0.2,1.98,39.8429473790543,1.0410588229771,48.3254409535088,13.5079637785266
0.2,2.01,40.1242452221479,1.04103334956311,49.0932652001159,13.5079261417333
0.2,2.04,40.4044706240552,1.04100839178967,49.8669117711296,13.5078889364627
0.2,2.07,40.6837439073456,1.04098392578521,50.6465439829202,13.5078521342137
0.2,2.1,40.962181330559,1.04095992875064,51.4323177166636,13.5078157077816
0.3,0.6,16.5041454252743,0.969740352260363,14.7708066267586,14.3378878382576
0.3,0.63,16.8841899397009,0.969631340041353,15.5389955467095,14.3377835534526
0.3,0.66,17.2547151220627,0.969530713087243,16.3091901041683,14.337680365616
0.3,0.69,17.6167078598148,0.969437371252788,17.0797715912097,14.337578556981
0.3,0.72,17.9709354964238,0.969350399351568,17.8493861129348,14.3374783636073
0.3,0.75,18.3179952970564,0.969269033124435,18.6169236257576,14.337379979036
0.3,0.78,18.6583539734117,0.969192631596433,19.3814960203812,14.3372835581106
0.3,0.81,18.9923790576776,0.969120654662863,20.1424149956871,14.337189220836
0.3,0.84,19.3203636511067,0.969052644924602,20.8991703090073,14.3370970561697
0.3,0.87,19.6425458206082,0.968988212961995,21.6514088437705,14.3370071256723
0.3,0.9,19.9591236928311,0.968927025385345,22.3989148099596,14.3369194669595
0.3,0.93,20.270267103714,0.968868795125636,23.1415912869723,14.3368340969204
0.3,0.96,20.5761265012349,0.968813273532943,23.8794432317639,14.3367510146804
0.3,0.99,20.8768396667342,0.96876024393445,24.6125620061214,14.3366702042985
0.3,1.02,21.1725367117023,0.968709516372342,25.341111423639,14.3365916372009
0.3,1.05,21.4633437184119,0.968660923296646,26.0653152772648,14.3365152743552
0.3,1.08,21.7493853207653,0.968614316032149,26.7854462799853,14.3364410681987
0.3,1.11,22.0307864632256,0.968569561873735,27.5018163322476,14.336368964336
0.3,1.14,22.3076735282351,0.968526541692686,28.2147680181988,14.3362989030209
0.3,1.17,22.5801749840363,0.968485147959152,28.9246672271094,14.3362308204434
0.3,1.2,22.8484216736416,0.968445283104078,29.6318967950349,14.3361646498386
0.3,1.23,23.1125468404728,0.968406858158521,30.3368510636851,14.3361003224347
0.3,1.26,23.3726859658175,0.968369791619962,31.0399312576637,14.3360377682597
0.3,1.29,23.6289764768147,0.968334008504707,31.7415415869523,14.3359769168207
0.3,1.32,23.8815573704634,0.968299439553102,32.4420859881464,14.3359176976719
0.3,1.35,24.1305687885422,0.968266020560438,33.1419654250595,14.3358600408858
0.3,1.38,24.3761515698507,0.968233691811455,33.8415756765469,14.3358038774385
