w_mm,freq_ghz,r_ohm,l_nH,g_uS,c_pF
0.4,1.98,9.91804589019714,732.121211552441,42.5486081206483,17.553735403691
0.4,2.01,10.0010386701617,732.115027393579,43.2245133026299,17.5537010348799
0.4,2.04,10.0844942507169,732.108934922739,43.9055354877608,17.5536670278579
0.4,2.07,10.1684395603706,732.102927788743,44.5918185945574,17.5536333575449
0.4,2.1,10.2529,732.097,45.2835,17.5536
0.5,0.6,5.17753048493595,713.149476072416,12.6775135958081,17.8918079141787
0.5,0.63,5.31934227482479,713.119983856001,13.3367776991441,17.8917184091908
0.5,0.66,5.45724188437567,713.09160287478,13.997760087946,17.8916298459692
0.5,0.69,5.59115962903249,713.064349533173,14.6590715651663,17.8915424667395
0.5,0.72,5.72109198204026,713.038224658507,15.3195502229086,17.8914564740954
0.5,0.75,5.84708849455774,713.013216580693,15.9782434487596,17.8913720341364
0.5,0.78,5.9692404203556,712.989303810562,16.6343891125849,17.8912892797477
0.5,0.81,6.08767097794799,712.966457332659,17.2873965742573,17.8912083139124
0.5,0.84,6.20252713197921,712.944642540327,17.9368280148,17.8911292129662
0.5,0.87,6.31397274765471,712.923820847514,18.5823804694114,17.8910520297306
0.5,0.9,6.42218296059202,712.903951014391,19.2238688330692,17.890976796476
0.5,0.93,6.52733960448774,712.884990223924,19.8612100185636,17.8909035276843
0.5,0.96,6.62962754641931,712.866894944727,20.4944083723826,17.8908322225911
0.5,0.99,6.72923179140982,712.849621612799,21.1235423946309,17.8907628675025
0.5,1.02,6.82633523191335,712.833127161411,21.7487527634326,17.8906954378822
0.5,1.05,6.92111693262885,712.817369424951,22.3702316302021,17.8906299002185
0.5,1.08,7.01375085553906,712.802307439112,22.9882131278762,17.8905662136795
0.5,1.11,7.10440494369201,712.787901656619,23.6029650179275,17.8905043315692
0.5,1.14,7.19324049466081,712.77411409475,24.2147813920945,17.8904442026004
0.5,1.17,7.28041176568593,712.760908428305,24.8239763398652,17.8903857719985
0.5,1.2,7.36606576219772,712.748250039399,25.4308784916259,17.8903289824537
0.5,1.23,7.45034216979007,712.736106033476,26.035826349036,17.8902737749343
0.5,1.26,7.53337339686626,712.724445229274,26.6391643177895,17.8902200893792
0.5,1.29,7.61528470122769,712.713238129012,27.2412393628284,17.8901678652808
0.5,1.32,7.69619437895279,712.702456873926,27.8423982117686,17.8901170421727
0.5,1.35,7.77621399814442,712.692075189227,28.4429850384012,17.8900675600335
0.5,1.38,7.85544866362872,712.682068321778,29.0433395643443,17.890019359618
0.5,1.41,7.93399730157471,712.672412973084,29.6437955230447,17.889972382725
0.5,1.44,8.01195295536917,712.663087229622,30.2446794362071,17.8899265724103
0.5,1.47,8.08940308600966,712.654070492119,30.8463096582739,17.889881873154
0.5,1.5,8.1664298718428,712.645343404971,31.4489956497333,17.8898382309865
0.5,1.53,8.24311050373855,712.636887786751,32.05303744476,17.8897955935818
0.5,1.56,8.31951747280506,712.628686562462,32.6587252829966,17.8897539103214
0.5,1.59,8.39571884855943,712.620723698041,33.2663393791585,17.8897131323348
0.5,1.62,8.47177854611273,712.612984137453,33.8761498076169,17.8896732125192
0.5,1.65,8.54775658143493,712.605453742584,34.4884164822038,17.8896341055435
0.5,1.68,8.62370931416173,712.598119236077,35.1033892142161,17.8895957678379
0.5,1.71,8.69968967771276,712.590968147145,35.7213078340065,17.8895581575725
