freq,rn,nfmin,sopt,s11,s12,s21,s22
1883000000.0000000000,5.7606630621,0.0787271132,0.8560311981 / 11.6023769403,0.8292456010 / -27.0855343929,0.0414057436 / 90.9622181755,8.1648048183 / 134.5436907344,0.3418244604 / 19.4269220438
1889500000.0000000000,5.7593629704,0.0788896895,0.8557338950 / 11.6425437436,0.8284047855 / -27.1523334321,0.0415749744 / 90.9378157980,8.1552954738 / 134.4171053205,0.3423508731 / 19.3752795038
1896000000.0000000000,5.7580570223,0.0790524918,0.8554361041 / 11.6827135768,0.8275640809 / -27.2189420309,0.0417443422 / 90.9132739100,8.1457877191 / 134.2907342730,0.3428754756 / 19.3234468732
1902500000.0000000000,5.7567452249,0.0792155188,0.8551378274 / 11.7228864579,0.8267235000 / -27.2853605196,0.0419138462 / 90.8885936251,8.1362816929 / 134.1645772928,0.3433982681 / 19.2714269822
1909000000.0000000000,5.7554275852,0.0793787690,0.8548390669 / 11.7630624052,0.8258830552 / -27.3515892310,0.0420834858 / 90.8637760504,8.1267775324 / 134.0386340781,0.3439192510 / 19.2192226284
1915500000.0000000000,5.7541041105,0.0795422411,0.8545398248 / 11.8032414366,0.8250427591 / -27.4176285006,0.0422532602 / 90.8388222866,8.1172753739 / 133.9129043240,0.3444384244 / 19.1668365775
1922000000.0000000000,5.7527748075,0.0797059336,0.8542401031 / 11.8434235702,0.8242026241 / -27.4834786670,0.0424231687 / 90.8137334282,8.1077753521 / 133.7873877230,0.3449557889 / 19.1142715628
1928500000.0000000000,5.7514396836,0.0798698451,0.8539399036 / 11.8836088241,0.8233626622 / -27.5491400712,0.0425932107 / 90.7885105635,8.0982776010 / 133.6620839646,0.3454713448 / 19.0615302863
1935000000.0000000000,5.7500987455,0.0800339744,0.8536392285 / 11.9237972161,0.8225228857 / -27.6146130570,0.0427633854 / 90.7631547742,8.0887822531 / 133.5369927358,0.3459850929 / 19.0086154188
1941500000.0000000000,5.7487520005,0.0801983200,0.8533380797 / 11.9639887643,0.8216833066 / -27.6798979708,0.0429336922 / 90.7376671359,8.0792894399 / 133.4121137207,0.3464970336 / 18.9555296001
1948000000.0000000000,5.7473994554,0.0803628805,0.8530364591 / 12.0041834865,0.8208439368 / -27.7449951614,0.0431041303 / 90.7120487178,8.0697992916 / 133.2874466009,0.3470071677 / 18.9022754396
1954500000.0000000000,5.7460411172,0.0805276547,0.8527343686 / 12.0443814005,0.8200047881 / -27.8099049805,0.0432746990 / 90.6863005830,8.0603119375 / 133.1629910554,0.3475154960 / 18.8488555163
1961000000.0000000000,5.7446769931,0.0806926412,0.8524318103 / 12.0845825243,0.8191658721 / -27.8746277820,0.0434453977 / 90.6604237882,8.0508275054 / 133.0387467603,0.3480220194 / 18.7952723795
1967500000.0000000000,5.7433070898,0.0808578387,0.8521287859 / 12.1247868755,0.8183272005 / -27.9391639223,0.0436162256 / 90.6344193836,8.0413461223 / 132.9147133896,0.3485267388 / 18.7415285490
1974000000.0000000000,5.7419314144,0.0810232458,0.8518252973 / 12.1649944719,0.8174887848 / -28.0035137603,0.0437871821 / 90.6082884135,8.0318679137 / 132.7908906144,0.3490296552 / 18.6876265151
1980500000.0000000000,5.7405499739,0.0811888612,0.8515213465 / 12.2052053314,0.8166506362 / -28.0676776573,0.0439582665 / 90.5820319158,8.0223930043 / 132.6672781037,0.3495307698 / 18.6335687395
1987000000.0000000000,5.7391627752,0.0813546836,0.8512169352 / 12.2454194714,0.8158127661 / -28.1316559768,0.0441294781 / 90.5556509221,8.0129215175 / 132.5438755239,0.3500300836 / 18.5793576550
1993500000.0000000000,5.7377698252,0.0815207118,0.8509120654 / 12.2856369097,0.8149751857 / -28.1954490847,0.0443008162 / 90.5291464578,8.0034535755 / 132.4206825388,0.3505275978 / 18.5249956664
2000000000.0000000000,5.7363711309,0.0816869444,0.8506067387 / 12.3258576638,0.8141379059 / -28.2590573493,0.0444722802 / 90.5025195421,7.9939892995 / 132.2976988102,0.3510233138 / 18.4704851505
