# RGLC Parameters for 8mm-suspended line from 2D extractor
# Width varies from 0.2:0.1:20 (mm)
# Freq varies from 0.1 to 5 GHz in 51 steps
width_mm,freq_ghz,r_ohm,l_uH,g_uS,c_pf
0.3,1.962,26.3281356864445,0.926312178691408,53.095948343692,14.9420984355031
0.3,2.06,27.0009113591777,0.926261293486716,54.8754462553952,14.9419665180512
0.3,2.158,27.6601747023283,0.926213736033553,56.6520386262185,14.9418453125556
0.3,2.256,28.3065252955999,0.926169150631866,58.4340049259357,14.9417332352187
0.3,2.354,28.9405271770096,0.926127239322308,60.2283708600112,14.9416289420357
0.3,2.452,29.5627316152831,0.926087749613876,62.0411114900008,14.941531289945
0.3,2.55,30.1736908176339,0.926050465104377,63.8773215260188,14.9414393042563
0.3,2.648,30.7739652044389,0.92601519829138,65.7413573505973,14.9413521514869
0.3,2.746,31.3641262540765,0.925981785042534,67.6369551358571,14.9412691167694
0.3,2.844,31.9447564147761,0.925950080323956,69.5673289702925,14.9411895850834
0.3,2.942,32.516447181335,0.925919954883518,71.5352523864657,14.9411130256623
0.3,3.04,33.0797961258542,0.925891292660021,73.5431261621373,14.9410389790249
0.3,3.138,33.6354034365196,0.925863988745242,75.5930347942907,14.9409670461739
0.3,3.236,34.1838683420093,0.925837947768058,77.6867936327489,14.9408968795811
0.3,3.334,34.7257856686657,0.925813082601758,79.8259883093627,14.9408281756454
0.3,3.432,35.2617426826928,0.925789313319707,82.0120078056998,14.9407606683684
0.3,3.53,35.7923163018935,0.925766566342644,84.2460722599189,14.9406941240361
0.3,3.628,36.3180707141757,0.925744773734659,86.5292564146226,14.9406283367336
0.3,3.726,36.8395554079925,0.925723872615177,88.8625094448903,14.9405631245529
0.3,3.824,37.3573035990064,0.925703804662133,91.2466717730696,14.9404983263769
0.3,3.922,37.8718310244793,0.925684515687372,93.6824893688592,14.9404337991443
0.3,4.02,38.3836350698617,0.925665955269818,96.170625945185,14.9403694155167
0.3,4.118,38.8931941890206,0.925648076435281,98.7116733886112,14.9403050618837
