w_mm,freq_ghz,r_ohm,l_nH,g_uS,c_pF
0.2,1.95,28.3092019761241,973.714920960607,46.2511323208397,14.1645005825435
0.2,1.98,28.5279996547569,973.697571025576,46.9934963644621,14.1644632144516
0.2,2.01,28.745714186222,973.680627927062,47.741496179623,14.1644262854836
0.2,2.04,28.9624248004034,973.664075785977,48.495296965381,14.1643897663302
0.2,2.07,29.1782089355911,973.647899392117,49.2550562766989,14.1643536290369
0.2,2.1,29.3931422191687,973.632084169276,50.0209243702917,14.1643178469428
0.3,0.6,12.0061871876604,915.409540610146,14.4550221148794,14.9519404141128
0.3,0.63,12.3049113010266,915.332701240929,15.206779268797,14.9518383590013
0.3,0.66,12.595210545781,915.261303047927,15.9604987613867,14.9517373774322
0.3,0.69,12.8779846419176,915.194759777458,16.714596502986,14.9516377456037
0.3,0.72,13.1540005101658,915.132555396333,17.4677475559332,14.9515396945277
0.3,0.75,13.4239077939131,915.074237221041,18.2188656207743,14.9514434136062
0.3,0.78,13.6882543405676,915.019408938095,18.9670815876185,14.9513490543713
0.3,0.81,13.9475008361765,914.96772390774,19.7117218829101,14.9512567342606
0.3,0.84,14.2020341732089,914.918878960737,20.4522871845689,14.9511665403285
0.3,0.87,14.4521793748292,914.872608782961,21.1884319370597,14.9510785328183
0.3,0.9,14.6982100477333,914.828680912134,21.9199449750806,14.9509927485402
0.3,0.93,14.940357422458,914.786891329818,22.6467314609798,14.9509092040209
0.3,0.96,15.1788180870532,914.747060609173,23.368796256145,14.9508278984032
0.3,0.99,15.4137605418136,914.709030568278,24.0862287790649,14.950748816086
0.3,1.02,15.6453307090473,914.672661375173,24.7991893506137,14.9506719291052
0.3,1.05,15.8736565289318,914.637829051532,25.5078969882642,14.9505971992619
0.3,1.08,16.0988517644074,914.604423324911,26.2126185832347,14.9505245800095
0.3,1.11,16.3210191273736,914.57234578382,26.9136593760137,14.9504540181145
0.3,1.14,16.5402528267785,914.541508294549,27.611354634436,14.9503854551075
0.3,1.17,16.7566406274931,914.51183164346,28.3060624328876,14.950318828542
0.3,1.2,16.9702654977035,914.483244372915,28.9981574299398,14.9502540730796
0.3,1.23,17.1812069122297,914.4556817832,29.6880255435807,14.9501911214185
0.3,1.26,17.3895418698282,914.429085076536,30.3760594273204,14.950129905082
0.3,1.29,17.5953456741839,914.403400622555,31.0626546560351,14.9500703550839
0.3,1.32,17.7986925209325,914.378579327573,31.7482065369049,14.9500124024841
0.3,1.35,17.9996559265975,914.354576092495,32.4331074677587,14.9499559788497
0.3,1.38,18.1983090297238,914.331349346389,33.1177447722217,14.9499010166321
0.3,1.41,18.3947247896407,914.308860644663,33.8024989480419,14.9498474494726
0.3,1.44,18.5889761041179,914.287074322398,34.4877422716721,14.9497952124457
0.3,1.47,18.7811358636091,914.265957194778,35.1738377085126,14.949744242249
0.3,1.5,18.9712769567283,914.245478297758,35.8611380840868,14.949694477348
