freq,s11,s12,s21,s22
1.6945,-0.388339267129415 + 0.610355603132699i,-0.631896374460275 + 0.275131901774825i,-0.631896374460275 + 0.275131901774825i,0.712198276010038 + 0.131448596930922i
1.701,-0.371017385245421 + 0.624304299923363i,-0.624981766341612 + 0.283424486357827i,-0.624981766341612 + 0.283424486357827i,0.714920358540506 + 0.132120327758881i
1.7075,-0.353456073020514 + 0.637630939892741i,-0.617969411256621 + 0.29147922410982i,-0.617969411256621 + 0.29147922410982i,0.717667208438494 + 0.1326981511321i
1.714,-0.335681503533527 + 0.650336689103039i,-0.6108693273975 + 0.299297071886703i,-0.6108693273975 + 0.299297071886703i,0.720434934964474 + 0.133182399468646i
1.7205,-0.317719193817714 + 0.662423905548166i,-0.603691262497864 + 0.306879440471118i,-0.603691262497864 + 0.306879440471117i,0.723219753384722 + 0.133573577176561i
1.727,-0.299593954777315 + 0.673896066320927i,-0.596444675236889 + 0.314228165977499i,-0.596444675236889 + 0.314228165977499i,0.726017991810751 + 0.13387234941471i
1.7335,-0.281329847879941 + 0.684757693898134i,-0.58913871926258 + 0.321345480989251i,-0.58913871926258 + 0.321345480989251i,0.728826097024548 + 0.134079530778715i
1.74,-0.262950148411733 + 0.695014282117231i,-0.581782229745772 + 0.328233985646851i,-0.581782229745772 + 0.328233985646851i,0.731640639326012 + 0.134196073995353i
1.7465,-0.244477315041213 + 0.704672222371123i,-0.57438371236126 + 0.334896618887184i,-0.57438371236126 + 0.334896618887184i,0.734458316444689 + 0.134223058701561i
1.753,-0.225932965403746 + 0.713738730499573i,-0.56695133457975 + 0.341336630015388i,-0.56695133457975 + 0.341336630015388i,0.737275956562571 + 0.134161680376656i
1.7595,-0.207337857391113 + 0.72222177480651i,-0.559492919144389 + 0.347557550771317i,-0.559492919144388 + 0.347557550771317i,0.740090520498352 + 0.134013239488924i
1.766,-0.188711875809626 + 0.730130005583744i,-0.552015939597953 + 0.353563168033646i,-0.552015939597953 + 0.353563168033647i,0.742899103106289 + 0.13377913091028i
1.7725,-0.170074024055043 + 0.737472686473476i,-0.544527517721479 + 0.35935749728595i,-0.544527517721478 + 0.359357497285951i,0.745698933944653 + 0.133460833645421i
1.779,-0.151442420442736 + 0.744259627955309i,-0.537034422741837 + 0.364944756950972i,-0.537034422741837 + 0.364944756950973i,0.748487377269826 + 0.133059900914908i
1.7855,-0.132834298826774 + 0.750501123198532i,-0.529543072164386 + 0.370329343681929i,-0.529543072164387 + 0.37032934368193i,0.751261931412428 + 0.132577950624864i
1.792,-0.114266013141179 + 0.75620788647781i,-0.522059534087131 + 0.375515808683254i,-0.522059534087131 + 0.375515808683254i,0.75402022759158 + 0.132016656249677i
1.7985,-0.0957530455000693 + 0.761390994310239i,-0.514589530854592 + 0.380508835117714i,-0.514589530854592 + 0.380508835117714i,0.756760028222546 + 0.131377738148111i
1.805,-0.0773100175003384 + 0.766061829434295i,-0.507138443912668 + 0.385313216642512i,-0.507138443912668 + 0.385313216642512i,0.759479224771647 + 0.130662955327789i
1.8115,-0.0589507043802609 + 0.770232027716683i,-0.499711319729878 + 0.389933837103747i,-0.499711319729878 + 0.389933837103747i,0.762175835210642 + 0.129874097667899i
1.818,-0.0406880516996437 + 0.773913428041504i,-0.492312876655444 + 0.394375651406567i,-0.492312876655444 + 0.394375651406567i,0.764848001120631 + 0.129012978605438i
